co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
411199,STAR FERRO & CEMENT LTD. [MERGED],20160801,86.0498,86.4169,-0.0383
164629,ORCHID PHARMA LTD.,20160801,72.9471,72.764,-34.4352
244056,SUZLON ENERGY LTD.,20160801,72.165,71.9552,-0.4833
408877,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD.,20160801,66.5123,66.8905,-1.1309
271345,B L S INTERNATIONAL SERVICES LTD.,20160801,,66.8474,0.2538
2717,DISH T V INDIA LTD.,20160801,64.4661,64.6203,3.4730000000000003
377226,PIRAMAL PHYTOCARE LTD.,20160801,40.1013,40.1541,-0.8397
157438,NELCO LTD.,20160801,36.8269,36.9063,-1.8319
519394,CROMPTON GREAVES CONSUMER ELECTRICALS LTD.,20160801,32.1875,32.2556,3.3495
168589,PAGE INDUSTRIES LTD.,20160801,30.3761,30.3597,209.1381
121148,KIRLOSKAR ELECTRIC CO. LTD.,20160801,29.6716,29.641,-2.32
94080,HINDUSTAN UNILEVER LTD.,20160801,26.8185,26.8592,19.178
167057,8K MILES SOFTWARE SERVICES LTD.,20160801,26.5399,26.6076,1.2670000000000001
36937,BLUE DART EXPRESS LTD.,20160801,26.5352,26.5975,79.8005
25932,GLOBAL VECTRA HELICORP LTD.,20160801,26.2931,26.1724,-5.95
245363,SYMPHONY LTD.,20160801,24.643,24.7016,44.2872
26485,B F UTILITIES LTD.,20160801,24.4433,24.5044,0.7195
42974,CASTROL INDIA LTD.,20160801,22.8012,22.8866,13.5168
66185,EICHER MOTORS LTD.,20160801,22.6836,22.7116,435.9682
49138,COLGATE-PALMOLIVE (INDIA) LTD.,20160801,22.5938,22.6021,21.3383
192516,SHREE RAMA NEWSPRINT LTD.,20160801,22.2245,22.3643,-3.2143
157827,NESTLE INDIA LTD.,20160801,20.0215,20.0359,100.0241
52194,CRISIL LTD.,20160801,19.2761,19.3508,33.2016
114412,ACCELYA KALE SOLUTIONS LTD.,20160801,19.2069,19.2894,51.7611
91480,HATSUN AGRO PRODUCTS LTD.,20160801,18.986,18.9246,6.3351
67417,EMAMI LTD.,20160801,18.6373,18.6203,12.8512
385035,EMAMI INFRASTRUCTURE LTD.,20160801,18.5777,18.5633,-4.4818
81580,GILLETTE INDIA LTD.,20160801,18.1882,18.2585,59.4932
258677,UPPER GANGES SUGAR & INDS. LTD. [MERGED],20160801,17.9103,17.9301,59.6077
149616,MOTHERSON SUMI SYSTEMS LTD.,20160801,17.5456,17.5327,4.9132
20327,ARROW GREENTECH LTD.,20160801,17.4078,17.4995,11.1585
54885,DABUR INDIA LTD.,20160801,17.2972,17.3259,5.4521
38803,STAMPEDE CAPITAL LTD.,20160801,17.0411,17.1221,0.0087
22859,ASIAN PAINTS LTD.,20160801,16.6717,16.6799,18.2202
374519,BAJAJ FINSERV LTD.,20160801,16.5794,16.5943,10.4373
149974,M R O-TEK REALTY LTD.,20160801,16.2813,16.3897,-0.0268
331940,DR. LAL PATHLABS LTD.,20160801,15.5513,15.5873,15.5357
38924,BRITANNIA INDUSTRIES LTD.,20160801,15.5509,15.5315,67.1027
23709,ASTRAZENECA PHARMA INDIA LTD.,20160801,15.4002,15.3809,6.04
88770,H M T LTD.,20160801,15.0331,15.0516,-0.9701
36277,3M INDIA LTD.,20160801,15.0992,15.0255,194.8323
395047,INTERGLOBE AVIATION LTD.,20160801,14.4957,14.4615,53.588
32433,BERGER PAINTS INDIA LTD.,20160801,14.0144,14.0054,3.9393
182523,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,20160801,13.9624,14.002,130.2928
37410,BOMBAY BURMAH TRDG. CORPN. LTD.,20160801,13.6136,13.6504,-5.4564
83013,GODREJ CONSUMER PRODUCTS LTD.,20160801,13.6172,13.6211,22.5029
42236,CAPLIN POINT LABORATORIES LTD.,20160801,13.323,13.2783,39.358000000000004
48799,COAL INDIA LTD.,20160801,13.2653,13.2714,25.0153
70115,ALANKIT LTD.,20160801,13.119000000000002,13.0937,1.4214
140097,MARICO LTD.,20160801,13.0427,13.0518,5.7862
275062,ZEE ENTERTAINMENT ENTERPRISES LTD.,20160801,12.8887,12.931,7.1267
254594,TRIVENI TURBINE LTD.,20160801,12.6888,12.7667,3.1739
8893,AJANTA PHARMA LTD.,20160801,12.72,12.7514,50.4358
125849,LA OPALA R G LTD.,20160801,12.3369,12.4095,11.1658
175214,PIDILITE INDUSTRIES LTD.,20160801,12.2337,12.237,14.6215
142526,UNITED SPIRITS LTD.,20160801,12.1564,12.1553,38.8742
248092,TATA ELXSI LTD.,20160801,11.9822,11.9895,50.552
82150,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,20160801,12.0381,11.9881,40.8439
86417,GRUH FINANCE LTD.,20160801,11.5773,11.5936,6.9443
