sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,3006.8,34.2,231.1,,20 MICRONS LTD.,-1.9,,0.0,11,20140331,160.0,1.1,1.3,119.4,3.4,3010.4,1.2,3207.7,,3.9
,12,1435.8,-22.6,47.1,,A B C INDIA LTD.,,,139.6,289,20140331,-67.8,-0.2,4.2,0.4,,1640.1,0.0,1349.6,,-11.3
1.5,12,5453.35,,334.1,,STARLOG ENTERPRISES LTD.,,,0.0,363,20140331,17.5,1.2,-183.0,15.4,,743.7,,5266.8,,0.9
,12,115363.7,354.7,-2363.7,,A B G SHIPYARD LTD.,0.0,,15.7,365,20140331,-405.3,-0.2,-1993.0,-751.1,,16188.1,4.6,124561.6,,-14.7
,12,599.2,,-70.6,,A B M INTERNATIONAL LTD.,,,,414,20140331,,,4.8,,,1671.7,,526.1,,0.0
1.4,12,879.7,27.9,71.8,,A B M KNOWLEDGEWARE LTD.,0.8,,,415,20140331,44.1,15.4,144.8,,,810.0,0.0,999.2,,
0.1,12,165.7,,40.0,,A C E EDUTREND LTD.,28.5,,,612,20140331,40.2,11.7,10.3,0.0,,230.7,,172.6,,
0.0,12,273.35,,20.9,,A C E STONECRAFT LTD.,,,,641,20140331,,,0.2,,,,,273.4,,
0.1,12,169.65,,-22.8,,A C I INFOCOM LTD.,0.0,,,666,20140331,,,1.5,,,,,174.3,,
10.0,12,863.3,0.0,-85.6,,CEINSYS TECH LTD.,0.0,0.0,,771,20140331,,,65.1,0.0,,766.6,,968.6,,0.0
57.4,12,2100.4,0.5,225.8,,A D F FOODS LTD.,0.5,0.0,2.8,783,20140331,23.5,0.1,124.5,23.8,1.2,1436.3,0.0,2158.3,,-1.7
0.1,12,64.7,,12.4,,A D S DIAGNOSTIC LTD.,0.1,,,830,20140331,0.2,0.1,0.4,0.0,,73.3,,65.3,,
0.1,12,29.0,,0.3,,A F ENTERPRISES LTD.,0.1,,,912,20140331,0.1,,0.1,,,51.9,,57.2,,
1.3,12,15615.1,210.7,3795.8,,A I A ENGINEERING LTD.,,,6.9,1120,20140331,659.9,70.5,2850.4,269.0,,18446.3,0.1,16921.8,,-2.6
,12,1724.8,0.0,96.0,,A INFRASTRUCTURE LTD.,1.0,0.0,,1144,20140331,7.3,0.7,10.2,1.5,,3023.5,,1839.5,,1.4
4.1,12,5110.35,,220.7,,A K CAPITAL SERVICES LTD.,0.4,,,1317,20140331,61.6,1.0,202.9,,,8.2,0.1,5393.8,,51.0
,12,343.95,,1.3,,S M S TECHSOFT (INDIA) LTD.,,,,1464,20140331,0.0,,-0.1,,,2.0,,343.9,,
,12,166.8,,,,A K S CREDITS LTD.,,,,1570,20140331,,,0.0,,,0.1,,154.6,,
0.1,12,340.3,,37.3,,A K SPINTEX LTD.,,,,1621,20140331,22.1,,4.3,22.1,,395.7,,349.4,,0.0
0.0,12,2953.65,2.4,,0.4,A N G INDUSTRIES LTD.,0.6,5.8,,2015,20140331,42.6,6.0,-35.5,26.7,,1604.3,,3090.0,,0.7
0.1,12,186.7,30.2,1.2,,A N S INDS. LTD.,,0.6,,2080,20140331,30.5,,-0.6,0.5,,60.0,,182.1,,-0.8
,12,1488.8,7.8,322.2,,A P M INDUSTRIES LTD.,,,0.0,2248,20140331,60.0,3.3,214.2,44.7,,3025.3,0.0,2174.5,,4.2
14.2,12,1191.25,0.3,-69.6,,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,2.0,,0.0,2384,20140331,37.1,1.0,-48.2,18.3,,1728.1,17.5,1305.0,,-2.0
,12,9.25,,,,A R C FINANCE LTD.,,,,2448,20140331,,,-0.1,,,,,9.3,,
0.1,12,125.7,,3.0,,A R I CONSOLIDATED INVSTS. PVT. LTD.,,,,2513,20140331,,,18.9,,,,,132.5,,
665.6,12,29647.5,,7078.2,,DISH T V INDIA LTD.,14.6,,,2717,20140331,5193.4,3.5,-1542.1,5139.9,,23920.4,36.3,27737.8,,-0.7
1.4,12,1569.1,4.2,-150.9,,ANIL SPECIAL STEEL INDS. LTD.,,,231.7,2773,20140331,29.2,1.5,49.1,29.0,,3048.1,,1672.5,,1.7
5.9,12,672.0,0.5,-21.1,,A S M TECHNOLOGIES LTD.,,0.3,,2842,20140331,11.6,1.0,98.8,8.9,12.0,1044.1,,757.0,,0.9
0.2,12,179.75,-0.2,25.2,,A T N INTERNATIONAL LTD.,,,,3052,20140331,-11.5,,-12.2,-11.3,,2.8,,173.0,,
,12,3507.9,0.7,27.5,,A T V PROJECTS INDIA LTD.,0.0,,0.0,3083,20140331,0.6,,17.2,0.0,,589.8,,3551.6,,
,12,62.9,,-42.9,,TAVERNIER RESOURCES LTD.,0.0,,,3149,20140331,1.2,,-24.4,0.1,,8.4,,51.5,,1.1
0.0,12,11.2,,4.0,,A V I PHOTOCHEM LTD.,0.0,,,3194,20140331,,,5.7,,,18.6,,15.2,,
0.1,12,26.45,,3.0,,A V I POLYMERS LTD.,,,,3196,20140331,,,0.1,,,9.5,,26.2,,
,12,147.8,,4.3,,ZENITH STEEL TUBES & INDS. LTD.,,,,3303,20140331,,,-20.4,,,249.2,,178.2,,
