sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,3248.75,6.2,244.6,,20 MICRONS LTD.,0.6,,7.4,11,20150331,62.3,0.3,-40.7,51.1,1.5,3252.7,,3289.8,,0.7
,12,1217.2,-19.0,46.8,,A B C INDIA LTD.,,,128.8,289,20150331,-195.6,5.5,1.0,5.1,,1525.2,,1084.8,,-165.1
1.1,12,5228.3,,678.3,,STARLOG ENTERPRISES LTD.,,,48.9,363,20150331,-231.0,0.6,-136.9,-231.6,,717.7,,5189.8,,
,12,123656.2,-272.6,-8748.1,,A B G SHIPYARD LTD.,-0.2,,50.5,365,20150331,-296.2,0.2,-8977.0,-12.7,,3901.2,0.4,123546.0,,-13.4
,12,,,,,A B L BIOTECHNOLOGIES LTD.,,,,400,20150331,,,-1.6,,,0.1,,448.0,,
,12,506.75,,-71.1,,A B M INTERNATIONAL LTD.,,,,414,20150331,,,6.6,,,1559.8,,487.4,,
0.6,12,1064.1,0.7,78.9,,A B M KNOWLEDGEWARE LTD.,1.0,,,415,20150331,18.4,0.9,175.1,,,907.1,15.8,1129.0,,
0.1,12,172.05,,42.5,,A C E EDUTREND LTD.,24.1,,,612,20150331,41.6,9.4,-3.6,8.1,,251.6,,171.5,,
0.1,12,170.5,,-7.1,,A C I INFOCOM LTD.,-0.1,,,666,20150331,-0.1,,1.0,,,17.5,,166.7,,
5.7,12,1086.3,1.7,-23.1,,CEINSYS TECH LTD.,16.7,0.9,,771,20150331,45.2,15.0,65.6,5.6,,978.1,,1204.0,,5.3
21.7,12,2205.55,100.5,-12.9,,A D F FOODS LTD.,-3.9,8.4,17.5,783,20150331,165.1,6.3,146.0,43.3,1.4,1498.6,2.4,2252.8,,8.1
0.2,12,67.7,,10.5,,A D S DIAGNOSTIC LTD.,0.1,,,830,20150331,7.1,0.2,0.8,6.8,,74.4,,70.1,,
0.1,12,57.1,,4.2,,A F ENTERPRISES LTD.,,,,912,20150331,,,0.3,,,103.5,,57.0,,
0.9,12,18583.5,386.6,3246.9,,A I A ENGINEERING LTD.,,,4.2,1120,20150331,2321.2,137.9,4145.7,1705.7,,21504.4,4.8,20245.2,,-4.6
88.1,12,1844.75,3.8,-93.2,,A INFRASTRUCTURE LTD.,1.6,0.9,,1144,20150331,7.5,1.2,31.0,,,2916.0,,2005.6,,
3.4,12,5456.1,,164.4,,A K CAPITAL SERVICES LTD.,0.2,,,1317,20150331,-14.6,0.9,183.1,,,27.9,,5518.4,,-15.7
0.1,12,348.95,,34.7,,A K SPINTEX LTD.,,,,1621,20150331,4.8,,1.2,4.8,,442.1,,348.5,,
,12,1598.1,1.7,299.6,,A P M INDUSTRIES LTD.,,,,2248,20150331,12.1,2.6,188.5,5.3,,3112.9,,2330.5,,2.5
3.1,12,1337.0,6.5,122.0,,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,1.7,,0.1,2384,20150331,40.3,5.8,-37.2,25.4,,1752.7,0.4,1369.0,,0.5
,12,258.85,,-431.4,,A R C FINANCE LTD.,0.1,,,2448,20150331,0.2,0.1,-2.9,,,,,508.4,,
0.0,12,165.7,,5.1,,A R I CONSOLIDATED INVSTS. PVT. LTD.,,,,2513,20150331,,,43.2,,,1.0,,198.9,,
543.8,12,29657.85,,7735.0,,DISH T V INDIA LTD.,3.3,,,2717,20150331,7171.6,23.7,10.1,7081.0,,26069.7,64.7,31577.9,,-1.1
0.6,12,1578.5,4.2,78.3,,ANIL SPECIAL STEEL INDS. LTD.,,,,2773,20150331,36.4,1.5,-291.3,29.0,,1551.7,,1511.3,,1.7
6.6,12,822.85,,17.8,,A S M TECHNOLOGIES LTD.,,0.1,,2842,20150331,23.9,1.0,82.8,22.8,,1094.2,,888.7,,
0.1,12,171.6,,5.0,,A T N INTERNATIONAL LTD.,,,,3052,20150331,,,-1.0,,,0.9,,170.2,,
,12,3421.6,,-83.9,,A T V PROJECTS INDIA LTD.,,,466.2,3083,20150331,2.4,0.4,363.6,2.0,,646.1,,3291.6,,
,12,67.0,,29.6,,TAVERNIER RESOURCES LTD.,,,,3149,20150331,,,25.4,,,17.9,,82.5,,
0.2,12,17.7,,0.6,,A V I PHOTOCHEM LTD.,0.3,,,3194,20150331,0.8,0.5,3.8,,,17.9,,20.2,,
0.1,12,29.95,,-9.0,,A V I POLYMERS LTD.,,,,3196,20150331,,,0.1,,,32.3,,33.7,,
11.2,12,2381.25,6.0,137.7,,A V T NATURAL PRODUCTS LTD.,,,0.9,3335,20150331,90.9,0.6,300.8,84.2,35.8,2504.8,,2374.0,,0.1
0.1,12,559.5,,-35.4,,PRISM INFORMATICS LTD.,0.4,,,3704,20150331,0.4,,-454.7,,,124.2,,397.7,,
,12,197.7,,17.6,,JAINEX AAMCOL LTD.,,,,3737,20150331,,,-3.1,,,141.2,,195.0,,
,12,1109.2,4.1,-20.8,,AAREY DRUGS & PHARMACEUTICALS LTD.,,,,3889,20150331,27.6,0.7,10.9,22.8,,2135.5,,1149.5,,
13.8,12,9083.3,200.4,1068.3,,AARTI DRUGS LTD.,,,,3990,20150331,839.6,2.2,776.0,644.1,30.4,11699.4,,9669.3,,-4.9
47.5,12,26922.65,198.9,3569.7,,AARTI INDUSTRIES LTD.,,,37.0,3998,20150331,2068.2,20.3,1878.0,1805.9,93.9,30847.4,,28196.5,,13.3
0.3,12,7825.7,-1.2,467.9,,AARVEE DENIMS & EXPORTS LTD.,0.3,0.8,147.8,4024,20150331,-73.7,-0.7,1.9,-73.0,,7324.4,,7710.3,,0.1
,12,16.8,,-14.6,,AASWA TRADING & EXPORTS LTD.,,,,4132,20150331,,,-1.0,,,48.9,,16.7,,0.0
,12,1.0,,,,ABACUS COMPUTERS LTD.,,,,4210,20150331,,,0.0,,,0.3,,1.1,,
8.5,12,43319.7,,3680.3,,ABAN OFFSHORE LTD.,,,40.0,4253,20150331,1463.8,6.5,1906.2,1436.9,,7604.9,,47244.7,,20.4
0.1,12,81.1,,-79.4,,ABHIJIT TRADING CO. LTD.,,,,4483,20150331,,,1.1,,,,,85.1,,
0.1,12,171.2,,2.1,,ABHINAV CAPITAL SERVICES LTD.,,,,4581,20150331,,,13.9,,,,,181.7,,
