co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
11,20 MICRONS LTD.,20110801,1.5346,1.5317,4.6333
289,A B C INDIA LTD.,20110801,2.0139,NA,11.4636
363,STARLOG ENTERPRISES LTD.,20110801,1.0597,NA,12.4509
365,A B G SHIPYARD LTD.,20110801,1.5732,1.5772,34.2997
400,A B L BIOTECHNOLOGIES LTD.,20110801,0.4067,NA,-0.622
415,A B M KNOWLEDGEWARE LTD.,20110801,1.8086,NA,12.7786
612,A C E EDUTREND LTD.,20110801,2.8088,NA,-0.131
666,A C I INFOCOM LTD.,20110801,2.3575,NA,-1.8463
783,A D F FOODS LTD.,20110801,1.1307,1.1251,8.68
1034,A G S INFOTECH LTD.,20110801,2.3666,NA,1.3496
1120,A I A ENGINEERING LTD.,20110801,4.1615,4.1604,14.9141
1317,A K CAPITAL SERVICES LTD.,20110801,0.8419,NA,70.8636
2015,A N G INDUSTRIES LTD.,20110801,0.3215,0.3215,-0.4785
2248,A P M INDUSTRIES LTD.,20110801,0.4887,NA,6.6076
2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,20110801,2.2326,NA,-0.6944
2717,DISH T V INDIA LTD.,20110801,205.5816,205.7011,-1.234
2773,ANIL SPECIAL STEEL INDS. LTD.,20110801,0.3559,NA,2.3584
2842,A S M TECHNOLOGIES LTD.,20110801,1.6565,NA,13.12
3052,A T N INTERNATIONAL LTD.,20110801,0.4237,0.4341,-0.3067
3083,A T V PROJECTS INDIA LTD.,20110801,NA,NA,0.3445
3149,TAVERNIER RESOURCES LTD.,20110801,1.3517,NA,0.9012
3335,A V T NATURAL PRODUCTS LTD.,20110801,5.4015,5.4179,31.3362
3889,AAREY DRUGS & PHARMACEUTICALS LTD.,20110801,0.9722,NA,1.5199
3990,AARTI DRUGS LTD.,20110801,0.9848,0.9859,17.4918
3998,AARTI INDUSTRIES LTD.,20110801,0.851,0.8519,8.3225
4024,AARVEE DENIMS & EXPORTS LTD.,20110801,0.5753,0.5742,12.1357
4253,ABAN OFFSHORE LTD.,20110801,1.0399,1.041,32.367
