co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
11,20 MICRONS LTD.,20150803,1.3382,1.3312,-1.3206
289,A B C INDIA LTD.,20150803,1.2342,NA,-20.4717
363,STARLOG ENTERPRISES LTD.,20150803,1.3141,NA,-10.7212
365,A B G SHIPYARD LTD.,20150803,3.6983,3.7128,-191.5893
400,A B L BIOTECHNOLOGIES LTD.,20150803,0.0879,NA,-0.1951
415,A B M KNOWLEDGEWARE LTD.,20150803,2.463,NA,17.2681
612,A C E EDUTREND LTD.,20150803,0.3628,NA,-0.6004
666,A C I INFOCOM LTD.,20150803,6.8246,NA,0.0081
783,A D F FOODS LTD.,20150803,1.0396,1.0439,4.85
912,A F ENTERPRISES LTD.,20150803,30.6667,NA,0.05
1120,A I A ENGINEERING LTD.,20150803,5.5355,5.5163,48.1614
1317,A K CAPITAL SERVICES LTD.,20150803,0.5659,NA,27.7121
1464,S M S TECHSOFT (INDIA) LTD.,20150803,0.1697,NA,-0.0009
2015,A N G INDUSTRIES LTD.,20150803,0.8655,0.8608,-1.1746
2248,A P M INDUSTRIES LTD.,20150803,1.0385,NA,7.6488
2717,DISH T V INDIA LTD.,20150803,NA,NA,1.2794
2773,ANIL SPECIAL STEEL INDS. LTD.,20150803,0.3711,NA,-13.816
2842,A S M TECHNOLOGIES LTD.,20150803,1.4482,NA,20.24
3052,A T N INTERNATIONAL LTD.,20150803,0.2707,0.246,0.038
3083,A T V PROJECTS INDIA LTD.,20150803,NA,NA,0.6815
3335,A V T NATURAL PRODUCTS LTD.,20150803,2.7941,2.8055,1.4558
3889,AAREY DRUGS & PHARMACEUTICALS LTD.,20150803,0.688,NA,0.6601
3990,AARTI DRUGS LTD.,20150803,5.1148,5.1205,31.3332
3998,AARTI INDUSTRIES LTD.,20150803,3.8208,3.8208,23.343
4024,AARVEE DENIMS & EXPORTS LTD.,20150803,0.6662,0.6607,-4.5994
4253,ABAN OFFSHORE LTD.,20150803,0.6037,0.6025,28.4141
4581,ABHINAV CAPITAL SERVICES LTD.,20150803,3.1739,NA,2.7583
4671,RADICO KHAITAN LTD.,20150803,1.4768,1.48,5.215
4709,TRIDENT LTD.,20150803,1.4014,1.4031,2.7515
5003,ACCEL FRONTLINE LTD.,20150803,3.1028,3.0894,-2.8123
5206,ACCURATE TRANSFORMERS LTD.,20150803,0.1714,NA,1.5479
5284,ACE SOFTWARE EXPORTS LTD.,20150803,0.3289,NA,1.2179
5396,ACKNIT INDUSTRIES LTD.,20150803,0.7773,NA,10.0397
5417,PROVOGUE (INDIA) LTD.,20150803,0.1607,0.1607,-6.6458
5568,ACROW INDIA LTD.,20150803,0.815,NA,-20
5574,ACRYSIL LTD.,20150803,6.4959,NA,18.4629
