co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
289,A B C INDIA LTD.,20050801,0.5222,NA,-0.9795
363,STARLOG ENTERPRISES LTD.,20050801,1.2605,NA,11.6606
400,A B L BIOTECHNOLOGIES LTD.,20050801,4.7654,NA,0.8537
612,A C E EDUTREND LTD.,20050801,1.1011,NA,0.2847
666,A C I INFOCOM LTD.,20050801,0.6348,NA,-0.4172
783,A D F FOODS LTD.,20050801,0.6494,NA,0.9578
934,APEEJAY TEA LTD. [MERGED],20050801,0.7467,NA,-5.8667
1317,A K CAPITAL SERVICES LTD.,20050801,1.5869,NA,12.04
1464,S M S TECHSOFT (INDIA) LTD.,20050801,0.2575,NA,-0.1186
2015,A N G INDUSTRIES LTD.,20050801,4.0487,NA,1.4675
2248,A P M INDUSTRIES LTD.,20050801,0.6558,NA,8.6297
2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,20050801,3.4234,NA,7.5397
2773,ANIL SPECIAL STEEL INDS. LTD.,20050801,1.5307,NA,11.8532
2842,A S M TECHNOLOGIES LTD.,20050801,6.176,NA,1.94
3052,A T N INTERNATIONAL LTD.,20050801,0.5118,0.5118,0.1926
3335,A V T NATURAL PRODUCTS LTD.,20050801,1.4721,NA,37.1591
3990,AARTI DRUGS LTD.,20050801,2.3497,2.3323,12.8453
3998,AARTI INDUSTRIES LTD.,20050801,1.9791,1.9946,13.6274
4024,AARVEE DENIMS & EXPORTS LTD.,20050801,2.669,NA,14.1057
4053,AASHEESH SECURITIES LTD.,20050801,NA,NA,-0.0364
4253,ABAN OFFSHORE LTD.,20050801,7.5517,7.5868,17.1851
4320,ABEE INFO-CONSUMABLES LTD.,20050801,0.5615,NA,0.19
4671,RADICO KHAITAN LTD.,20050801,7.8373,7.8053,14.3912
4709,TRIDENT LTD.,20050801,1.7709,1.7738,1.4975
5284,ACE SOFTWARE EXPORTS LTD.,20050801,0.7258,NA,1.8353
5396,ACKNIT INDUSTRIES LTD.,20050801,0.8573,NA,7.4603
5417,PROVOGUE (INDIA) LTD.,20050801,3.1361,3.1339,4.6735
5568,ACROW INDIA LTD.,20050801,1.0703,NA,-1.5625
5574,ACRYSIL LTD.,20050801,1.1599,NA,1.283
5596,ACTION FINANCIAL SERVICES (INDIA) LTD.,20050801,0.5912,NA,0.1125
5695,AD-MANUM FINANCE LTD.,20050801,0.631,NA,6.8333
5747,ADANI ENTERPRISES LTD.,20050801,2.0548,2.0532,4.3396
5802,VIKAS GRANARIES LTD.,20050801,1.8298,NA,0.0838
5843,ADARSH PLANT PROTECT LTD.,20050801,3.0008,NA,-3.6665
5921,ADDI INDUSTRIES LTD.,20050801,0.9784,NA,-0.9911
6342,ADITYA FORGE LTD.,20050801,NA,NA,0.8587
6348,ADITYA ISPAT LTD.,20050801,0.6349,NA,0.3059
6364,ADITYA INTERNATIONAL LTD.,20050801,0.5722,NA,9.5798
6484,RELIANCE MEDIAWORKS LTD.,20050801,4.3572,4.3558,8.3318
6584,ADOR FONTECH LTD.,20050801,2.7394,NA,8.7429
6585,ADOR MULTIPRODUCTS LTD.,20050801,1.0159,NA,0.1713
6871,ADVANCED MICRONIC DEVICES LTD.,20050801,1.8153,NA,1.458
6916,ADVANI HOTELS & RESORTS (INDIA) LTD.,20050801,5.0337,NA,3.2021
6923,ADOR WELDING LTD.,20050801,3.4585,3.4771,11.2071
6953,ADVENT COMPUTER SERVICES LTD.,20050801,1.7315,NA,-12.495
7002,ADVIK LABORATORIES LTD.,20050801,1.0714,NA,0.6522
7068,AEGIS LOGISTICS LTD.,20050801,2.9204,2.9324,13.7143
7077,LUDLOW JUTE & SPECIALITIES LTD.,20050801,1.2937,NA,0.3806
7091,AEONIAN INVESTMENTS CO. LTD.,20050801,2.474,NA,587.5
7294,AFTEK LTD.,20050801,1.886,1.8803,7.9733
7633,SHIRPUR GOLD REFINERY LTD.,20050801,0.2649,NA,-30.053
8153,AGRO DUTCH INDS. LTD.,20050801,1.098,1.0997,4.6685
8183,AGRO TECH FOODS LTD.,20050801,2.7966,2.7868,1.5306
8306,AHLCON PARENTERALS (INDIA) LTD.,20050801,3.1648,NA,4.2777
8354,TORRENT POWER A E C LTD. [MERGED],20050801,2.0828,2.0622,12.591
8378,AHMEDABAD STEELCRAFT LTD.,20050801,0.6844,NA,-2.6637
8392,METALYST FORGINGS LTD.,20050801,5.0905,5.0936,25.7375
8523,AIMCO PESTICIDES LTD.,20050801,0.8245,NA,-0.8362
8893,AJANTA PHARMA LTD.,20050801,0.9998,1.0015,6.5764
8909,AJANTA SOYA LTD.,20050801,0.784,NA,0.269
9167,AJCON GLOBAL SERVICES LTD.,20050801,1.0265,NA,1.0206
9335,AJWA FUN WORLD & RESORT LTD.,20050801,NA,NA,-2.0814
9395,OPTIEMUS INFRACOM LTD.,20050801,0.2441,NA,0.0267
9431,AKAR TOOLS LTD.,20050801,0.4528,NA,2.0833
9681,CORE EDUCATION & TECHNOLOGIES LTD.,20050801,6.9564,NA,11.9872
9793,AKSH OPTIFIBRE LTD.,20050801,2.0423,2.0527,-1.0074
10376,ALBERT DAVID LTD.,20050801,1.6639,NA,8.5682
10397,RHODIA SPECIALTY CHEMICALS INDIA LTD.,20050801,1.7607,NA,21.5962
10564,SHRENO LTD.,20050801,2.9885,NA,68.7482
10566,ALEMBIC LTD.,20050801,2.6494,2.6788,20.1871
10674,ALFA ICA (INDIA) LTD.,20050801,0.8967,NA,0.5446
10678,ALFA LAVAL (INDIA) LTD.,20050801,5.6207,5.6378,38.4847
10714,ALFA TRANSFORMERS LTD.,20050801,2.1169,NA,0.8205
10735,ALFAVISION OVERSEAS (INDIA) LTD.,20050801,5.2695,NA,2.1887
10752,ALFRED HERBERT (INDIA) LTD.,20050801,0.7535,NA,3.1111
10866,ALKA SECURITIES LTD.,20050801,2.5024,NA,0.24
10867,ALKA INDIA LTD.,20050801,1.1095,NA,0.018
10903,ALKYL AMINES CHEMICALS LTD.,20050801,0.9483,NA,2.775
11019,ALLAHABAD BANK,20050801,1.5945,1.5995,12.6951
11259,AVONMORE CAPITAL & MGMT. SERVICES LTD.,20050801,4.108,NA,4.4051
11262,ALMONDZ GLOBAL SECURITIES LTD.,20050801,5.4356,NA,5.6063
11284,RAP MEDIA LTD.,20050801,10.3323,NA,-0.08
11443,ALLSEC TECHNOLOGIES LTD.,20050801,2.6494,2.6657,11.2682
11599,ALOK INDUSTRIES LTD.,20050801,1.3686,1.3708,6.2752
11736,ALPHA DRUG INDIA LTD. [MERGED],20050801,3.2098,NA,-4.2718
11764,ALPHA HI-TECH FUEL LTD.,20050801,0.9053,NA,7.9108
11853,ALPHAGEO (INDIA) LTD.,20050801,2.3075,NA,1.274
11955,ALPS INDUSTRIES LTD.,20050801,1.209,1.2081,23.6027
12007,G E T & D INDIA LTD.,20050801,4.8975,NA,5.2397
12011,G E POWER INDIA LTD.,20050801,4.7282,4.7626,5.7323
12108,ALUFLUORIDE LTD.,20050801,2.363,NA,-0.1714
12258,AMAL LTD.,20050801,NA,NA,-24.1851
12517,AMARA RAJA BATTERIES LTD.,20050801,0.8985,0.9032,6.1998
12577,AMARJOTHI SPINNING MILLS LTD.,20050801,2.2965,NA,9.4815
12774,AMBALAL SARABHAI ENTERPRISES LTD.,20050801,1.5139,NA,-3.3272
12933,AMBICA AGARBATHIES AROMA & INDS. LTD.,20050801,1.5898,1.5976,1.0017
13029,AMBIKA COTTON MILLS LTD.,20050801,1.96,NA,22.0766
13126,AMBUJA CEMENT EASTERN LTD. [MERGED],20050801,4.6727,NA,2.6266
13188,AMCO INDIA LTD.,20050801,0.6096,NA,4.0389
13356,TUTIS TECHNOLOGIES LTD.,20050801,1.3292,NA,2.0659
13398,AMFORGE INDUSTRIES LTD.,20050801,9.8407,NA,-14.8783
13637,AMIT INTERNATIONAL LTD.,20050801,0.8754,NA,2.1786
13995,AMRAPALI DEVELOPERS (INDIA) LTD. [MERGED],20050801,0.4446,NA,0.0337
14000,AMRAPALI INDUSTRIES LTD.,20050801,0.6024,NA,0.86
14039,AMRIT CORP. LTD.,20050801,1.4236,NA,3.4311
14204,AMRUTANJAN HEALTH CARE LTD.,20050801,1.7937,NA,7.0938
14268,AMTEK AUTO LTD.,20050801,3.2199,3.2273,9.1865
14271,CASTEX TECHNOLOGIES LTD.,20050801,2.7057,2.7108,34.477
14299,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,20050801,10.2297,10.2084,4.7909
14897,ANANT RAJ LTD.,20050801,10.8363,NA,0.14
15047,NAKSHATRA INFRASTRUCTURE LTD.,20050801,0.8402,NA,0.1091
15214,ANDHRA BANK,20050801,2.1913,2.1923,11.377
15222,ANDHRA CEMENTS LTD.,20050801,NA,NA,-5.3285
15246,ANDHRA PETROCHEMICALS LTD.,20050801,1.5384,NA,1.6182
15270,INTERNATIONAL PAPER A P P M LTD.,20050801,0.7358,0.7445,11.1085
15303,ANDHRA SUGARS LTD.,20050801,NA,1.9366,16.4238
15321,ANDREW YULE & CO. LTD.,20050801,NA,NA,-12.7379
15788,MODI NATURALS LTD.,20050801,0.2579,NA,1.808
15815,SYSCHEM (INDIA) LTD.,20050801,6.8153,NA,0.2208
16177,SHREE BHAVYA FABRICS LTD.,20050801,0.9088,NA,2.9742
16178,ANJANI FINANCE LTD.,20050801,0.8934,NA,0.0493
16191,ANJANI PORTLAND CEMENT LTD.,20050801,1.2192,NA,-0.9571
16198,ANJANI SYNTHETICS LTD.,20050801,0.7905,NA,2.9077
16431,ANKUR DRUGS & PHARMA LTD.,20050801,4.1302,NA,4.5895
16490,ANKUSH FINSTOCK LTD.,20050801,1.1977,NA,3.6642
16635,SHIVA TEXYARN LTD.,20050801,0.9748,0.9774,2.967
16814,ANSAL BUILDWELL LTD.,20050801,1.4464,NA,1.8574
16820,ANSAL HOUSING & CONSTRUCTION LTD.,20050801,1.6637,NA,5.7041
16823,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,20050801,3.4141,NA,11.4858
16941,ANTARCTICA LTD.,20050801,NA,1.0832,-0.9143
17002,A B C BEARINGS LTD.,20050801,2.8175,NA,10.7965
17206,ANUH PHARMA LTD.,20050801,3.6035,NA,46.8391
17728,APAR INDUSTRIES LTD.,20050801,3.7008,3.6832,15.0822
17809,APCOTEX INDUSTRIES LTD.,20050801,0.7385,0.7457,1.2664
17815,INANNA FASHION & TRENDS LTD.,20050801,NA,NA,-0.05
18030,APLAB LTD.,20050801,2.8101,NA,5.42
18093,APOLLO FINVEST (INDIA) LTD.,20050801,0.4535,NA,1.2186
18102,APOLLO HOSPITALS ENTERPRISE LTD.,20050801,3.1247,3.1349,11.8758
18151,APOLLO TYRES LTD.,20050801,1.5619,1.5713,14.8495
18227,APPLE FINANCE LTD.,20050801,NA,NA,-0.4401
18341,C L C GLOBAL LTD. [MERGED],20050801,1.9165,NA,5.2396
18395,HEXAWARE TECHNOLOGIES LTD.,20050801,4.1462,4.1544,4.4008
18396,APTECH LTD.,20050801,2.746,2.7523,-17.3682
18850,ARAVALI SECURITIES & FINANCE LTD.,20050801,0.738,NA,-0.2574
18939,ARCEE INDUSTRIES LTD.,20050801,0.3931,NA,-0.0778
19063,ARCHIES LTD.,20050801,1.5411,1.5278,9.7295
19291,AREX INDUSTRIES LTD.,20050801,0.8231,NA,3.6628
19361,NATIONAL PLASTIC TECHNOLOGIES LTD.,20050801,2.8436,NA,1.9406
19408,FINAVENTURE CAPITAL LTD.,20050801,1.4844,NA,1.1111
19480,ARIHANT CAPITAL MARKETS LTD.,20050801,2.5048,NA,4.7295
19528,ARIHANT FOUNDATIONS & HOUSING LTD.,20050801,3.2592,NA,12.84
19642,ARIHANT'S SECURITIES LTD.,20050801,0.6608,NA,0.84
19915,ARMAN FINANCIAL SERVICES LTD.,20050801,0.4939,NA,0.9812
19962,RESONANCE SPECIALTIES LTD.,20050801,2.7172,NA,-0.4245
20015,ARO GRANITE INDS. LTD.,20050801,0.7884,NA,13.6895
