co_code	company_name	co_stkdate	bse_pb	nse_pb	eps_on_stkdate
11	20 MICRONS LTD.	20090803	0.9503	0.9594	3.6465
289	A B C INDIA LTD.	20090803	NA	NA	-0.7589
363	STARLOG ENTERPRISES LTD.	20090803	0.8717	NA	0.7098
365	A B G SHIPYARD LTD.	20090803	1.1791	1.1762	33.2333
400	A B L BIOTECHNOLOGIES LTD.	20090803	0.3697	NA	-2.0976
415	A B M KNOWLEDGEWARE LTD.	20090803	1.5596	NA	6.3393
612	A C E EDUTREND LTD.	20090803	0.4882	NA	-0.1582
783	A D F FOODS LTD.	20090803	0.7425	NA	7.3046
1120	A I A ENGINEERING LTD.	20090803	3.1595	3.1546	13.3269
1317	A K CAPITAL SERVICES LTD.	20090803	0.9882	NA	61.4242
2015	A N G INDUSTRIES LTD.	20090803	0.5865	0.5865	-5.1276
2248	A P M INDUSTRIES LTD.	20090803	0.2487	NA	1.2725
2384	SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.	20090803	0.9043	NA	15.0628
2717	DISH T V INDIA LTD.	20090803	NA	NA	-4.428
2773	ANIL SPECIAL STEEL INDS. LTD.	20090803	0.4208	NA	0.304
2842	A S M TECHNOLOGIES LTD.	20090803	1.169	NA	7.36
3052	A T N INTERNATIONAL LTD.	20090803	0.3746	0.3805	0.0659
3149	TAVERNIER RESOURCES LTD.	20090803	0.8347	NA	-0.2503
3335	A V T NATURAL PRODUCTS LTD.	20090803	1.0981	1.1506	8.5892
3889	AAREY DRUGS & PHARMACEUTICALS LTD.	20090803	2.9453	NA	1.4999
3990	AARTI DRUGS LTD.	20090803	0.5529	0.5561	13.5627
3998	AARTI INDUSTRIES LTD.	20090803	0.8612	0.8672	10.1347
4024	AARVEE DENIMS & EXPORTS LTD.	20090803	0.4074	0.4152	3.4144
4253	ABAN OFFSHORE LTD.	20090803	4.315	4.3237	69.882
4581	ABHINAV CAPITAL SERVICES LTD.	20090803	4.3156	NA	-1.5308
4671	RADICO KHAITAN LTD.	20090803	3.6693	3.6715	-2.5307
4680	ABHISHEK CORPORATION LTD.	20090803	0.2859	0.2895	-14.3342
4709	TRIDENT LTD.	20090803	0.6026	0.6008	0.4415
4831	ABIRAMI FINANCIAL SERVICES (INDIA) LTD.	20090803	1.2185	NA	-0.05
5003	ACCEL FRONTLINE LTD.	20090803	1.0355	1.0388	0.4176
5206	ACCURATE TRANSFORMERS LTD.	20090803	0.522	NA	23.3446
5284	ACE SOFTWARE EXPORTS LTD.	20090803	0.4476	NA	0.8761
5417	PROVOGUE (INDIA) LTD.	20090803	0.9719	0.9753	2.5849
5568	ACROW INDIA LTD.	20090803	0.8408	NA	0.7812
5574	ACRYSIL LTD.	20090803	1.404	NA	23.2073
5596	ACTION FINANCIAL SERVICES (INDIA) LTD.	20090803	1.703	NA	-1.6572
5695	AD-MANUM FINANCE LTD.	20090803	0.3642	NA	7.0333
5747	ADANI ENTERPRISES LTD.	20090803	11.8668	11.8625	13.1828
5802	VIKAS GRANARIES LTD.	20090803	0.692	NA	6.0825
5843	ADARSH PLANT PROTECT LTD.	20090803	1.0486	NA	-0.9383
6342	ADITYA FORGE LTD.	20090803	NA	NA	1.9264
6348	ADITYA ISPAT LTD.	20090803	0.5833	NA	0.2745
6374	NITIN CASTINGS LTD.	20090803	0.4462	NA	9.2593
6484	RELIANCE MEDIAWORKS LTD.	20090803	3.356	3.3589	-24.8492
6584	ADOR FONTECH LTD.	20090803	1.3158	NA	30.2571
6585	ADOR MULTIPRODUCTS LTD.	20090803	0.8333	NA	1.2851
6871	ADVANCED MICRONIC DEVICES LTD.	20090803	1.1174	NA	3.0297
6916	ADVANI HOTELS & RESORTS (INDIA) LTD.	20090803	5.7048	5.5322	-0.6404
6923	ADOR WELDING LTD.	20090803	1.4246	1.417	8.4715
6926	ADVANTA LTD. [MERGED]	20090803	2.1397	2.1338	4.5015
6953	ADVENT COMPUTER SERVICES LTD.	20090803	0.3286	NA	-0.2028
7002	ADVIK LABORATORIES LTD.	20090803	0.3263	NA	-0.2566
7068	AEGIS LOGISTICS LTD.	20090803	1.332	1.3299	16.4201
7077	LUDLOW JUTE & SPECIALITIES LTD.	20090803	0.899	NA	3.7501
7091	AEONIAN INVESTMENTS CO. LTD.	20090803	0.7601	NA	-3.25
7294	AFTEK LTD.	20090803	0.2231	0.2227	7.3623
7633	SHIRPUR GOLD REFINERY LTD.	20090803	27.5711	NA	-9.0281
8153	AGRO DUTCH INDS. LTD.	20090803	0.3314	0.3349	-18.4835
8183	AGRO TECH FOODS LTD.	20090803	2.9669	2.9779	5.8065
8306	AHLCON PARENTERALS (INDIA) LTD.	20090803	0.7673	NA	3.4583
8312	AHLUWALIA CONTRACTS (INDIA) LTD.	20090803	4.0218	NA	10.178
8378	AHMEDABAD STEELCRAFT LTD.	20090803	1.0716	NA	-2.1261
8392	METALYST FORGINGS LTD.	20090803	0.4519	0.4516	9.9542
8523	AIMCO PESTICIDES LTD.	20090803	0.6065	NA	-5.1751
8893	AJANTA PHARMA LTD.	20090803	0.6497	0.6456	19.3108
8909	AJANTA SOYA LTD.	20090803	0.3543	NA	-0.042
9167	AJCON GLOBAL SERVICES LTD.	20090803	0.8506	NA	0.4415
9431	AKAR TOOLS LTD.	20090803	0.7354	NA	0.6118
9681	CORE EDUCATION & TECHNOLOGIES LTD.	20090803	2.5454	2.554	10.1661
9780	HUBTOWN LTD.	20090803	3.5903	3.6003	4
9793	AKSH OPTIFIBRE LTD.	20090803	0.4619	0.4604	-4.0785
10376	ALBERT DAVID LTD.	20090803	0.732	NA	14.0175
10397	RHODIA SPECIALTY CHEMICALS INDIA LTD.	20090803	0.6041	NA	-8.7392
10566	ALEMBIC LTD.	20090803	1.6707	1.6707	0.5446
10674	ALFA ICA (INDIA) LTD.	20090803	0.7743	NA	0.6436
10678	ALFA LAVAL (INDIA) LTD.	20090803	4.5285	4.5157	46.8985
10714	ALFA TRANSFORMERS LTD.	20090803	0.7826	NA	1.6791
10752	ALFRED HERBERT (INDIA) LTD.	20090803	0.4123	NA	6.6111
10866	ALKA SECURITIES LTD.	20090803	9.3334	NA	0.2283
10867	ALKA INDIA LTD.	20090803	0.6764	NA	-0.0976
10872	ALKALI METALS LTD.	20090803	3.7212	3.7017	10.3805
10903	ALKYL AMINES CHEMICALS LTD.	20090803	1.0095	0.9492	3.6477
11019	ALLAHABAD BANK	20090803	0.7595	0.757	21.8952
